18;97;100;3;39
23;68;66;20;43
74;80;82;12;33
1;26;60;2;23
72;79;44;29;28
13;58;25;22;46
56;51;23;47;6
93;82;69;8;43
3;18;60;15;19
2;43;25;27;24
72;84;50;35;39
36;53;75;47;42
53;63;63;35;23
43;16;1;28;28
68;32;48;5;45
92;38;58;4;33
72;34;88;8;31
76;96;83;16;16
98;1;36;17;39
100;46;66;41;49
90;8;15;21;20
55;46;38;27;40
89;5;78;34;45
97;5;96;47;21
72;100;47;33;20
55;30;19;11;50
100;88;48;39;27
21;57;61;42;49
72;29;4;20;7
84;42;25;11;12
72;13;28;21;3
52;4;8;9;46
28;24;89;27;47
76;11;9;4;46
68;63;98;33;49
98;39;45;24;32
54;62;98;48;11
54;47;59;7;9
93;86;36;46;37
11;64;77;12;37
22;31;49;33;45
80;42;67;36;12
17;70;57;1;14
19;60;39;8;14
59;40;45;50;36
32;28;63;24;4
65;19;29;21;47
30;40;71;18;48
99;49;73;8;13
43;75;51;16;9
29;36;51;40;38
1;94;13;22;24
47;43;18;19;15
48;51;90;37;19
35;5;4;12;7
69;54;80;7;8
68;64;62;20;28
87;78;69;48;26
24;5;68;37;35
74;60;4;8;13
78;36;62;3;9
51;13;33;44;3
92;43;82;12;24
65;7;66;46;14
48;69;98;9;46
16;16;85;42;36
58;62;22;16;36
37;29;77;37;32
32;85;77;1;14
81;96;79;24;22
29;77;12;38;46
61;13;68;5;36
61;72;67;46;6
48;98;19;26;17
90;4;5;45;15
6;74;38;2;10
58;26;42;41;5
24;46;74;7;50
37;56;56;49;23
81;96;35;35;32
38;1;25;30;38
32;46;82;44;25
70;33;18;9;23
8;27;100;36;12
73;82;3;23;1
42;22;56;11;34
90;33;73;9;17
13;47;5;26;26
45;72;13;27;7
83;71;67;19;30
27;76;89;6;10
30;78;48;3;36
83;70;45;47;23
83;50;62;1;49
46;42;71;28;15
11;15;97;14;23
42;69;4;10;45
10;18;49;9;44
91;28;31;35;32
87;97;97;5;43
6;67;68;29;21
11;54;44;8;27
84;48;17;36;7
63;33;59;4;32
54;16;60;41;24
20;13;42;8;15
63;48;69;27;12
87;23;49;49;24
20;89;55;35;28
48;72;88;14;44
20;60;37;46;46
3;94;20;30;34
87;24;73;43;24
38;59;23;37;41
30;93;30;2;18
53;26;71;48;26
30;58;39;16;39
13;45;35;36;13
18;100;31;46;44
50;57;17;23;33
5;29;45;19;20
57;69;33;8;20
76;57;85;22;16
15;67;78;50;24
10;94;64;26;35
78;3;58;38;28
29;50;58;43;11
12;47;10;32;46
40;30;38;32;44
41;32;53;44;6
56;17;27;15;20
42;9;48;34;2
41;35;70;40;4
52;56;75;33;18
84;79;5;45;33
23;33;38;7;33
80;63;4;25;11
79;20;8;4;46
67;89;66;5;15
58;56;64;2;18
13;83;9;37;24
4;81;47;49;38
76;61;92;46;6
57;53;60;3;26
63;13;47;50;30
31;69;80;41;20
90;84;1;1;32
60;59;9;50;36
22;32;43;45;16
79;41;74;40;11
11;85;59;19;46
10;93;80;28;15
81;12;7;35;2
58;84;77;40;47
59;18;16;48;16
60;84;84;26;2
8;67;28;44;10
5;91;30;32;34
42;63;2;38;39
97;50;23;24;46
95;33;19;47;31
93;56;97;26;21
46;38;89;46;25
49;81;71;19;14
73;82;90;42;26
33;2;29;16;32
73;14;63;13;21
91;67;73;28;15
65;38;59;37;31
68;14;28;41;2
49;28;79;27;30
8;9;42;27;10
44;1;95;37;48
18;10;90;18;33
72;2;46;35;10
35;9;7;5;26
51;3;52;22;20
3;44;55;38;9
89;46;39;13;30
54;93;34;23;48
82;1;5;49;45
64;53;91;1;25
87;47;86;6;26
86;43;12;29;13
58;76;10;23;50
19;19;12;13;39
79;91;70;12;36
29;78;16;28;11
12;70;21;11;43
63;20;96;5;1
81;73;72;25;25
93;87;51;48;42
60;74;83;33;16
69;64;87;5;16
35;8;34;46;44
50;83;58;36;50
90;42;2;41;32
84;88;56;15;14
72;39;81;12;18
38;10;64;9;19
63;68;31;12;17
32;1;45;24;32
14;85;63;22;14
54;26;78;42;9
25;99;44;9;46
100;13;43;23;32
55;18;99;17;4
77;73;39;7;4
46;61;26;4;47
72;60;75;15;21
55;23;47;26;15
94;66;3;10;31
76;34;13;37;46
79;94;31;22;20
64;8;92;1;17
87;67;52;37;9
28;9;19;36;23
28;20;87;43;49
76;16;3;11;21
58;54;95;25;15
44;66;33;15;40
35;74;78;23;19
99;6;24;4;25
59;95;91;11;43
86;48;86;27;40
82;91;66;34;49
37;4;49;13;38
13;34;64;36;35
59;29;43;4;40
10;65;71;18;44
73;98;7;4;49
19;11;41;19;3
1;70;78;33;13
31;89;92;6;19
52;3;25;37;20
17;18;24;13;5
97;41;1;36;1
66;74;64;22;31
66;43;73;11;49
93;17;40;20;49
6;14;69;46;9
34;80;98;12;7
35;82;5;29;14
47;47;33;26;44
54;7;53;50;32
50;88;95;44;48
16;11;58;3;44
82;69;32;37;42
96;16;43;31;27
47;97;37;29;16
16;71;65;43;36
12;73;63;36;20
4;91;66;35;39
70;66;34;34;35
68;95;5;17;33
22;65;75;16;1
25;91;2;50;37
59;16;27;21;29
71;15;31;49;39
82;51;41;8;21
47;55;100;35;6
22;41;84;24;50
32;56;6;4;39
76;87;50;44;19
45;72;94;41;9
70;14;45;37;12
