94;89;73;34
51;100;97;12
34;12;42;31
8;94;13;47
96;96;70;34
23;87;69;21
10;52;64;8
5;69;62;12
18;30;1;32
8;26;30;42
9;3;96;10
97;55;8;29
1;97;66;43
68;93;11;29
58;33;2;21
25;31;58;10
14;97;74;45
9;32;88;29
26;14;90;10
31;19;26;21
93;20;45;14
42;42;12;4
33;17;29;48
83;27;91;38
32;32;32;32
91;53;1;8
94;39;15;48
30;12;30;49
21;25;67;2
72;99;19;11
72;25;100;28
22;13;78;43
14;71;56;37
3;29;34;23
92;100;70;1
80;73;42;24
41;35;82;25
98;69;41;14
38;62;12;24
74;66;16;43
32;98;17;12
9;24;66;22
6;26;85;1
38;46;98;27
1;78;76;17
53;17;34;26
46;92;85;47
58;25;56;9
73;96;69;17
20;34;74;4
67;66;80;39
43;25;87;8
59;81;94;44
68;77;96;10
65;95;87;41
100;13;62;21
32;97;49;11
81;9;47;24
32;4;58;8
91;31;96;10
28;30;59;39
40;19;93;1
51;68;81;37
13;82;36;2
74;99;43;33
49;96;30;20
1;16;16;27
33;41;8;18
52;95;75;5
56;48;43;4
2;92;75;13
22;95;70;9
7;76;16;8
25;39;35;48
52;53;5;46
19;10;68;3
92;59;40;22
55;28;36;37
64;12;26;32
16;4;89;48
81;21;51;6
55;42;67;50
69;98;48;29
26;80;56;27
87;43;18;1
8;93;71;11
72;76;37;28
32;39;57;14
36;23;38;15
61;48;15;40
62;93;28;8
30;3;14;19
50;76;81;40
32;4;53;41
40;78;6;49
2;30;1;16
8;45;71;33
46;48;19;36
47;71;20;3
46;9;60;44
90;22;92;49
33;45;20;22
17;57;60;29
37;50;2;18
68;69;80;43
85;26;41;18
41;23;4;35
8;72;58;41
11;90;68;33
80;75;62;31
36;76;83;2
4;24;1;16
98;96;47;12
83;57;32;20
79;34;58;24
54;61;52;9
26;31;55;7
2;87;100;37
56;98;5;1
97;39;9;17
22;22;69;31
70;94;41;14
84;36;84;47
54;17;17;8
40;90;17;19
37;24;17;3
67;13;17;20
69;66;17;3
55;79;79;3
13;99;43;8
99;30;80;24
10;100;98;2
46;29;10;20
19;100;65;47
22;55;18;37
15;70;42;21
86;78;6;16
27;77;62;40
12;1;6;21
48;51;46;24
92;88;81;38
65;81;81;38
80;60;20;8
48;45;9;15
89;3;65;25
26;42;44;40
80;72;81;17
38;83;76;22
34;36;92;29
96;69;69;37
8;55;93;46
60;44;15;39
30;48;34;42
2;2;39;23
96;78;56;9
53;88;45;18
22;99;72;28
48;46;9;50
21;68;94;47
3;64;98;48
63;57;6;35
85;8;10;37
48;88;86;18
46;10;95;15
36;32;1;42
80;35;85;4
36;68;30;12
9;57;45;12
56;60;33;25
49;10;63;27
7;30;94;29
95;85;23;32
55;98;13;9
77;67;97;35
99;76;84;42
55;66;53;37
91;4;32;7
74;91;27;39
7;29;80;41
41;54;23;7
59;49;22;49
88;83;48;17
100;92;21;19
27;85;54;35
30;51;82;18
75;39;22;9
19;57;53;15
63;86;49;12
68;85;84;32
59;25;65;17
8;21;94;5
61;3;66;25
77;36;78;20
25;4;14;42
54;56;76;49
39;55;93;21
92;12;13;32
