1000
20
1238	1294
1141	1204
834	877
1288	1343
672	736
39	67
972	1028
1023	1080
477	571
954	965
879	950
405	448
719	757
452	500
1338	1434
1161	1255
1284	1334
571	609
172	228
365	427
36	112
2	87
1024	1111
864	913
584	595
404	455
1020	1055
1056	1089
503	567
1104	1168
673	712
548	588
174	262
743	835
1304	1366
1056	1099
711	722
114	202
412	474
830	903
365	446
246	282
674	761
363	442
975	1018
775	873
831	895
1306	1364
200	266
489	585
795	850
339	370
253	290
593	653
422	439
1343	1384
145	209
1289	1310
996	1030
573	629
1038	1092
166	249
479	563
1126	1138
839	907
811	910
572	594
787	857
703	750
664	746
806	829
14	65
605	670
171	205
1220	1302
930	992
670	726
1328	1423
88	177
1107	1183
277	362
604	682
1227	1271
1106	1183
1183	1258
432	524
1153	1175
1397	1417
1213	1247
1137	1219
1180	1268
638	687
1318	1378
1067	1084
711	772
1229	1278
369	401
442	479
1009	1045
346	413
1027	1099
693	762
369	468
698	762
236	286
1415	1436
874	943
1196	1287
667	707
1288	1339
1066	1138
1331	1346
31	107
586	631
783	850
1042	1132
1315	1357
977	1051
1330	1340
1277	1375
1011	1082
640	696
15	84
353	375
895	915
455	548
1158	1209
455	481
98	151
1174	1257
548	561
626	665
1208	1250
582	670
1037	1101
1152	1193
853	913
1068	1093
1195	1282
1090	1115
149	171
680	737
45	124
1246	1308
1106	1179
1130	1220
1065	1144
837	890
1206	1268
940	984
1298	1342
497	539
452	485
152	218
1175	1194
1271	1320
301	322
914	926
1071	1141
716	758
1125	1191
1232	1300
388	426
424	459
1033	1079
613	678
327	373
780	826
1314	1366
12	33
254	317
519	554
410	455
14	72
503	536
1259	1303
181	252
147	206
1126	1207
418	503
23	41
1364	1408
581	615
828	921
698	748
267	354
622	652
969	1030
1314	1361
341	430
419	510
1119	1217
959	1021
826	854
1329	1412
1056	1152
1391	1413
1123	1200
555	604
445	471
868	927
951	1048
281	329
657	697
278	371
884	957
1260	1354
1158	1197
646	707
1168	1231
257	294
1153	1192
1342	1354
736	807
619	707
662	738
978	1009
1283	1335
1306	1327
545	573
7	50
802	835
1111	1196
65	143
1207	1221
1027	1126
182	227
123	199
800	823
1175	1229
295	391
535	610
1372	1385
943	1004
1235	1264
798	878
585	682
180	237
1257	1341
1270	1315
7	25
887	938
421	454
1135	1152
527	588
4	98
295	325
1250	1320
1339	1398
562	643
518	540
540	607
1209	1275
1240	1258
267	291
989	1044
508	585
442	468
1286	1318
356	386
970	1062
1095	1164
709	731
435	465
531	558
134	162
672	693
438	527
765	863
982	1031
822	845
408	448
1411	1439
1284	1346
998	1084
1354	1434
367	426
905	996
1159	1224
1108	1158
885	939
554	629
544	595
412	465
499	537
1278	1336
54	96
96	144
841	854
1150	1188
1244	1328
55	100
363	441
1350	1434
609	675
388	402
804	858
1010	1086
921	1004
1032	1058
946	987
755	824
347	410
406	459
47	128
31	109
1117	1152
145	179
623	680
377	477
604	695
194	204
1050	1099
854	898
1225	1294
628	675
726	750
516	548
771	804
84	124
996	1033
1146	1223
724	755
727	809
1268	1341
334	424
315	376
1116	1158
856	941
